city_id,iran_m,iran_d,leba_m,leba_d,other_m,other_d,warn,hit,total_hit,dur
1564,27,2,13,28,0,0,69,22,29,141876
1054,25,0,2,0,0,0,64,20,25,96531
533,77,1,4,0,0,0,143,67,78,185994
1592,28,2,15,35,0,0,69,21,30,157919
241,19,0,2,0,0,0,66,13,19,94125
1138,35,0,3,0,0,0,64,24,35,97392
1821,103,1,6,0,0,0,158,88,104,198815
883,64,3,6,0,0,0,135,50,67,182639
906,47,1,3,0,0,0,135,40,48,173787
1196,24,0,1,0,0,0,73,20,24,104356
1045,22,0,2,0,0,0,64,17,22,96531
1074,30,0,2,0,0,0,64,22,30,96531
1493,33,0,10,7,0,0,73,23,33,126923
419,54,1,3,0,0,0,143,46,55,184711
164,44,0,4,0,0,0,66,32,44,102483
1212,20,0,1,0,0,0,73,16,20,104356
534,84,1,4,0,0,0,158,73,85,195447
1067,25,0,0,0,0,0,73,20,25,103507
1608,24,0,43,26,0,0,69,15,24,177653
307,30,0,2,0,0,0,112,22,30,151246
972,18,0,1,0,0,0,135,14,18,167915
223,18,0,3,0,0,0,66,14,18,91759
1016,23,0,1,0,0,0,63,17,23,94927
1398,49,0,4,2,0,0,73,40,49,113090
15,1,0,0,0,0,0,12,1,1,17985
1309,52,0,1,0,0,0,73,42,52,107263
1785,108,1,5,0,0,0,158,88,109,198177
1933,120,3,8,0,0,0,159,101,123,210228
1942,123,3,8,0,0,0,159,102,126,210228
1534,29,0,13,11,0,0,69,22,29,130815
325,41,1,0,0,0,0,143,33,42,179835
1539,28,0,4,6,0,0,73,24,28,116284
1463,41,0,10,4,0,0,73,30,41,119098
357,30,1,4,0,0,0,112,23,31,153348
1407,48,0,7,2,0,0,73,40,48,114984
441,63,1,2,0,0,0,143,54,64,184763
173,38,0,3,0,0,0,66,29,38,99178
2233,47,1,0,0,0,0,126,37,48,167650
1405,52,0,6,0,0,0,73,39,52,117745
1026,49,1,1,0,0,0,110,36,50,155604
1631,19,0,9,20,0,0,69,14,19,133130
1167,23,0,0,0,0,0,54,19,23,82063
832,113,3,7,0,0,0,135,94,116,186127
255,22,0,1,0,0,0,126,9,22,168253
582,92,1,4,0,0,0,158,77,93,196355
1247,48,0,1,0,0,0,73,37,48,107263
1084,28,0,0,0,0,0,63,22,28,92700
78,30,0,2,0,0,0,57,27,30,79075
704,131,3,7,0,0,0,158,113,134,201094
1801,104,1,6,0,0,0,158,88,105,199795
1546,30,1,7,15,0,0,69,23,31,125418
378,51,1,3,0,0,0,143,45,52,182035
27,2,0,0,1,0,0,12,2,2,18739
1268,37,0,2,0,0,0,73,27,37,106862
224,19,0,2,0,0,0,66,14,19,93257
1240,51,0,4,0,0,0,67,39,51,107096
794,121,3,8,0,0,0,135,99,124,185965
1017,22,0,1,0,0,0,63,16,22,94927
434,54,1,4,0,0,0,143,47,55,184799
918,38,1,2,0,0,0,135,30,39,173292
2025,29,1,2,0,0,0,126,23,30,165814
258,18,0,2,0,0,0,126,9,18,164081
297,25,0,2,0,0,0,112,17,25,151246
810,113,4,11,0,0,0,135,96,117,191923
1417,49,0,12,3,0,0,73,39,49,122223
1342,40,0,1,1,0,0,73,31,40,106582
1797,119,1,5,0,0,0,158,99,120,199215
87,34,0,4,0,0,0,73,31,34,97867
877,53,0,3,0,0,0,135,43,53,174745
558,93,3,4,0,0,0,143,75,96,188034
270,28,0,0,0,0,0,143,19,28,182167
447,61,1,4,0,0,0,143,52,62,186051
952,28,1,2,0,0,0,135,24,29,171246
428,54,1,1,0,0,0,77,43,55,108444
703,131,3,8,0,0,0,158,112,134,202243
1024,17,0,0,0,0,0,54,12,17,85436
1416,48,0,7,3,0,0,73,38,48,117710
338,43,1,1,0,0,0,143,36,44,180676
2026,35,1,2,0,0,0,135,28,36,173292
1806,124,1,4,0,0,0,158,102,125,200200
215,22,0,2,0,0,0,66,17,22,93257
1660,21,1,14,20,0,0,69,17,22,133107
981,20,0,1,0,0,0,63,15,20,98417
798,63,1,6,0,0,0,136,51,64,182607
1289,21,0,1,0,0,0,66,17,21,96512
1795,123,1,5,0,0,0,158,102,124,201261
1486,32,0,6,6,0,0,73,26,32,117156
1509,27,0,3,4,0,0,73,23,27,110636
594,100,1,4,0,0,0,158,84,101,196355
1347,54,0,17,3,0,0,67,41,54,124698
831,113,3,7,0,0,0,135,94,116,186127
2294,104,0,6,0,0,0,159,90,104,201047
319,37,1,1,0,0,0,143,30,38,180811
503,70,1,4,0,0,0,143,61,71,185173
390,50,1,1,0,0,0,143,43,51,182225
1390,47,0,4,2,0,0,73,39,47,113090
1655,21,0,2,8,0,0,66,17,21,104135
827,112,3,10,0,0,0,135,95,115,186312
782,124,3,8,0,0,0,159,103,127,209114
2290,75,1,1,0,0,0,159,59,76,203457
232,18,0,3,0,0,0,66,14,18,91759
1023,24,0,0,0,0,0,135,13,24,172740
1164,36,0,0,0,0,0,73,27,36,103211
1484,32,0,8,4,0,0,69,25,32,117651
1558,25,0,8,11,0,0,69,20,25,125978
1175,38,0,0,0,0,0,73,28,38,103211
1305,58,0,7,2,0,0,67,41,58,116819
2023,53,0,20,5,0,0,67,40,53,129257
742,127,3,10,0,0,0,158,110,130,205393
1106,29,0,0,0,0,0,73,22,29,102385
1152,30,0,0,1,0,0,73,25,30,102573
444,28,2,1,0,0,0,64,11,30,107631
597,79,1,3,0,0,0,159,62,80,205457
1847,70,2,2,0,0,0,159,59,72,199270
185,43,0,4,0,0,0,66,33,43,100334
945,26,0,3,0,0,0,136,22,26,174237
968,19,1,1,0,0,0,135,16,20,167915
1598,25,0,21,13,0,0,69,19,25,134789
1367,54,0,4,1,0,0,73,44,54,112665
943,27,1,2,0,0,0,135,23,28,171246
1210,24,0,2,0,0,0,73,19,24,105108
1641,20,0,3,7,0,0,66,16,20,104245
1034,22,0,0,0,0,0,135,13,22,171488
2194,17,0,0,0,0,0,54,13,17,82186
346,38,1,2,0,0,0,143,32,39,180974
181,45,0,5,0,0,0,66,34,45,103102
852,67,0,7,0,0,0,135,52,67,182669
1396,53,0,21,6,0,0,73,38,53,138667
312,34,0,1,0,0,0,143,26,34,180811
92,57,0,7,0,0,0,73,48,57,105365
526,78,1,3,0,0,0,143,64,79,186529
732,134,3,9,0,0,0,158,115,137,205638
1306,57,0,7,2,0,0,67,41,57,116819
2201,46,0,1,0,0,0,73,36,46,105305
1621,17,1,8,16,0,0,66,12,18,115128
1137,32,0,4,1,0,0,64,22,32,98941
488,73,1,3,0,0,0,143,64,74,183958
1751,108,3,11,0,0,0,158,94,111,206584
1760,22,0,3,0,0,0,66,17,22,94323
982,20,0,2,0,0,0,64,14,20,101435
1101,29,0,2,0,0,0,64,24,29,95603
1139,26,0,0,0,0,0,73,21,26,101457
706,100,1,6,0,0,0,159,86,101,201047
748,134,3,7,0,0,0,158,115,137,203513
1368,52,0,3,1,0,0,73,43,52,113424
2247,54,0,6,0,0,0,135,46,54,179345
2212,62,0,5,1,0,0,136,48,62,185095
1053,22,0,1,0,0,0,64,18,22,94930
1796,118,1,5,0,0,0,158,98,119,199215
1736,20,0,2,0,0,0,126,10,20,165252
169,52,0,5,0,0,0,66,40,52,103136
202,24,0,3,0,0,0,66,19,24,94233
172,36,0,3,0,0,0,66,28,36,99178
1290,17,0,0,0,0,0,66,14,17,91747
2330,48,0,6,1,0,0,67,40,48,110541
1779,106,1,5,0,0,0,158,89,107,198101
930,35,2,2,0,0,0,135,28,37,178356
308,29,0,2,0,0,0,143,22,29,181877
804,118,3,9,0,0,0,135,99,121,185632
889,50,1,4,0,0,0,135,40,51,177011
210,35,0,2,0,0,0,66,26,35,98202
1563,29,3,19,40,0,0,69,24,32,162408
949,28,1,2,0,0,0,135,23,29,172800
917,38,2,3,0,0,0,135,30,40,179974
1434,49,0,12,3,0,0,73,38,49,122223
1002,18,0,1,0,0,0,54,11,18,90245
1065,26,0,2,0,0,0,64,20,26,96531
1128,29,0,1,0,0,0,67,23,29,98648
1923,23,1,1,0,0,0,126,18,24,163531
507,78,1,3,0,0,0,143,64,79,186529
487,76,1,3,0,0,0,143,67,77,183958
2226,121,3,9,0,0,0,135,99,124,186655
855,83,3,6,0,0,0,135,72,86,179650
1614,18,1,11,16,0,0,66,14,19,117190
410,57,1,3,0,0,0,143,49,58,184711
242,22,0,1,0,0,0,126,10,22,167215
1772,8,0,1,0,0,0,73,8,8,89142
1450,44,0,11,3,0,0,73,32,44,121572
166,40,0,3,0,0,0,66,29,40,101327
2241,21,1,1,0,0,0,126,15,22,161554
1462,40,0,8,7,0,0,73,29,40,125528
320,26,1,4,0,0,0,112,22,27,149743
518,73,1,4,0,0,0,143,63,74,185994
1361,55,0,3,1,0,0,73,44,55,111520
